"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Michael"	"Schumacher"	"MSC"	"Ferrari"
"2"	"Jean"	"Alesi"	"ALE"	"Benetton Renault"
"3"	"Giancarlo"	"Fisichella"	"FIS"	"Jordan Peugeot"
"4"	"Heinz-Harald"	"Frentzen"	"FRE"	"Williams Renault"
"5"	"Johnny"	"Herbert"	"HER"	"Sauber Petronas"
"6"	"Shinji"	"Nakano"	"NAK"	"Prost Mugen Honda"
"7"	"David"	"Coulthard"	"COU"	"McLaren Mercedes"
"8"	"Pedro"	"Diniz"	"DIN"	"Arrows Yamaha"
"9"	"Damon"	"Hill"	"HIL"	"Arrows Yamaha"
"10"	"Gianni"	"Morbidelli"	"MOR"	"Sauber Petronas"
"11"	"Olivier"	"Panis"	"PAN"	"Prost Mugen Honda"
"NC"	"Mika"	"Salo"	"SAL"	"Tyrrell Ford"
"NC"	"Jos"	"Verstappen"	"VER"	"Tyrrell Ford"
"NC"	"Alexander"	"Wurz"	"WUR"	"Benetton Renault"
"NC"	"Rubens"	"Barrichello"	"BAR"	"Stewart Ford"
"NC"	"Jarno"	"Trulli"	"TRU"	"Minardi Hart"
"NC"	"Ralf"	"Schumacher"	"RSC"	"Jordan Peugeot"
"NC"	"Ukyo"	"Katayama"	"KAT"	"Minardi Hart"
"NC"	"Jacques"	"Villeneuve"	"VIL"	"Williams Renault"
"NC"	"Eddie"	"Irvine"	"IRV"	"Ferrari"
"NC"	"Mika"	"Hakkinen"	"HAK"	"McLaren Mercedes"
"NC"	"Jan"	"Magnussen"	"MAG"	"Stewart Ford"
